Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,References,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID,Subject
"Wang, N., Tanaka, H., Muller, S.",57000872246; 57000207473; 57000809570,Hierarchical Few-Shot Learning Integration with Autonomous Systems for Edge Devices: Case Study 1 in Artificial Intelligence,2023,Expert Systems with Applications,63,4,,920,936,17,1,10.1016/j.arti.2023.000001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000001&doi=10.1016/j.arti.2023.000001,"Nanyang Technological University, School of Computer Science and Engineering, Singapore","Wang, N., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Tanaka, H., Nanyang Technological University, School of Computer Science and Engineering, Singapore; Muller, S., Nanyang Technological University, School of Computer Science and Engineering, Singapore","Recent advancements in artificial intelligence have demonstrated the critical role of few-shot learning in modern computing infrastructures. In this work, we tackle fundamental challenges in autonomous systems by proposing an hierarchical framework specifically designed for edge devices. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 29.4% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying few-shot learning models in production.",few-shot learning; autonomous systems; deep learning,machine learning; Algorithms; Computer Science; autonomous systems; few-shot learning; deep learning; natural language processing; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Wang, N., Nanyang Technological University, School of Computer Science and Engineering, Singapore",,Elsevier / IEEE,5557-1106,,,,English,Expert Systems ,Article,Final,Gold,Scopus,2-s2.0-85000000001,Artificial Intelligence
"Patel, K., Kumar, S., Patel, M.",57000197251; 57000498382; 57000201414,Dynamic Foundation Models Integration with Transfer Learning for Distributed Networks: Case Study 2 in Artificial Intelligence,2021,IEEE Transactions on Pattern Analysis and Machine Intelligence,15,11,,467,486,20,7,10.1016/j.arti.2021.000002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000002&doi=10.1016/j.arti.2021.000002,"University of Oxford, Department of Computer Science, Oxford, United Kingdom","Patel, K., University of Oxford, Department of Computer Science, Oxford, United Kingdom; Kumar, S., University of Oxford, Department of Computer Science, Oxford, United Kingdom; Patel, M., University of Oxford, Department of Computer Science, Oxford, United Kingdom","Recent advancements in artificial intelligence have demonstrated the critical role of foundation models in modern computing infrastructures. In this work, we tackle fundamental challenges in transfer learning by proposing an dynamic framework specifically designed for distributed networks. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 30.4% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying foundation models models in production.",foundation models; transfer learning; deep learning; multi-agent systems; neural networks,neural networks; machine learning; foundation models; Algorithms; multi-agent systems; transformers; transfer learning; Computer Science; deep learning; Performance evaluation; federated learning,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Patel, K., University of Oxford, Department of Computer Science, Oxford, United Kingdom",,Elsevier / IEEE,5741-2307,,,,English,IEEE Transactio,Article,Final,Gold,Scopus,2-s2.0-85000000002,Artificial Intelligence
"Al-Mansoor, K., Nguyen, J., Johnson, E., Johnson, P.",57000319684; 57000802729; 57000379946; 57000835911,Distributed Foundation Models Integration with Large Language Models for Heterogeneous Architectures: Case Study 3 in Artificial Intelligence,2020,Journal of Artificial Intelligence Research,115,1,,647,660,14,6,10.1016/j.arti.2020.000003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000003&doi=10.1016/j.arti.2020.000003,"King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Al-Mansoor, K., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Nguyen, J., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Johnson, E., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Johnson, P., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Recent advancements in artificial intelligence have demonstrated the critical role of foundation models in modern computing infrastructures. In this work, we tackle fundamental challenges in large language models by proposing an distributed framework specifically designed for heterogeneous architectures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 22.1% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying foundation models models in production.",foundation models; large language models; federated learning,foundation models; Algorithms; multi-agent systems; knowledge graphs; large language models; Computer Science; explainable ai; Performance evaluation; federated learning,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Al-Mansoor, K., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand",,Elsevier / IEEE,5386-2084,,,,English,Journal of Arti,Article,Final,Gold,Scopus,2-s2.0-85000000003,Artificial Intelligence
"Chaiyarongsri, Z., Patel, S., Ngamjan-at, F., Al-Mansoor, J., Nguyen, S.",57000377746; 57000246413; 57000358607; 57000881177; 57000688637,Scalable Few-Shot Learning Integration with Autonomous Systems for Edge Devices: Case Study 4 in Artificial Intelligence,2024,Journal of Artificial Intelligence Research,111,11,,865,881,17,9,10.1016/j.arti.2024.000004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000004&doi=10.1016/j.arti.2024.000004,"Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Chaiyarongsri, Z., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Patel, S., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Ngamjan-at, F., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Al-Mansoor, J., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand; Nguyen, S., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand","Recent advancements in artificial intelligence have demonstrated the critical role of few-shot learning in modern computing infrastructures. In this work, we tackle fundamental challenges in autonomous systems by proposing an scalable framework specifically designed for edge devices. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 15.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying few-shot learning models in production.",few-shot learning; autonomous systems; knowledge graphs; supervised learning; explainable ai,prompt engineering; Algorithms; Computer Science; autonomous systems; knowledge graphs; supervised learning; few-shot learning; contrastive learning; explainable ai; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Chaiyarongsri, Z., Chulalongkorn University, Department of Computer Engineering, Bangkok, Thailand",,Elsevier / IEEE,2040-7304,,,,English,Journal of Arti,Article,Final,Bronze,Scopus,2-s2.0-85000000004,Artificial Intelligence
"Nguyen, L., Tanaka, A., Wang, A.",57000855731; 57000220116; 57000814825,Unified Generative Adversarial Networks Integration with Neural Networks for Real-Time Environments: Case Study 5 in Artificial Intelligence,2020,Artificial Intelligence,117,11,,1040,1056,17,2,10.1016/j.arti.2020.000005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000005&doi=10.1016/j.arti.2020.000005,"King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Nguyen, L., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Tanaka, A., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand; Wang, A., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand","Recent advancements in artificial intelligence have demonstrated the critical role of generative adversarial networks in modern computing infrastructures. In this work, we tackle fundamental challenges in neural networks by proposing an unified framework specifically designed for real-time environments. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 28.2% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying generative adversarial networks models in production.",generative adversarial networks; neural networks; transformers; autonomous systems; large language models,neural networks; artificial intelligence; Algorithms; generative adversarial networks; autonomous systems; transformers; large language models; transfer learning; Computer Science; contrastive learning; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Nguyen, L., King Mongkut's University of Technology Thonburi, Faculty of Information Technology, Bangkok, Thailand",,Elsevier / IEEE,4258-3504,,,,English,Artificial Inte,Article,Final,Green,Scopus,2-s2.0-85000000005,Artificial Intelligence
"Kim, C., Fernandez, A., Phalasak, C., Sato, A.",57000217301; 57000480612; 57000972064; 57000945964,Robust Deep Learning Integration with Explainable Ai for Data-Intensive Applications: Case Study 6 in Artificial Intelligence,2021,Artificial Intelligence,77,10,,867,877,11,2,10.1016/j.arti.2021.000006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000006&doi=10.1016/j.arti.2021.000006,"National University of Singapore, School of Computing, Singapore","Kim, C., National University of Singapore, School of Computing, Singapore; Fernandez, A., National University of Singapore, School of Computing, Singapore; Phalasak, C., National University of Singapore, School of Computing, Singapore; Sato, A., National University of Singapore, School of Computing, Singapore","Recent advancements in artificial intelligence have demonstrated the critical role of deep learning in modern computing infrastructures. In this work, we tackle fundamental challenges in explainable ai by proposing an robust framework specifically designed for data-intensive applications. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 29.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying deep learning models in production.",deep learning; explainable ai; machine learning; federated learning,prompt engineering; machine learning; Algorithms; reinforcement learning; Computer Science; deep learning; explainable ai; Performance evaluation; federated learning,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kim, C., National University of Singapore, School of Computing, Singapore",,Elsevier / IEEE,9835-4295,,,,English,Artificial Inte,Article,Final,Green,Scopus,2-s2.0-85000000006,Artificial Intelligence
"Kuson, J., Johnson, M., Fernandez, M.",57000226882; 57000359947; 57000335612,Hierarchical Artificial Intelligence Integration with Few-Shot Learning for Large-Scale Systems: Case Study 7 in Artificial Intelligence,2022,IEEE Transactions on Pattern Analysis and Machine Intelligence,75,4,,571,588,18,0,10.1016/j.arti.2022.000007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000007&doi=10.1016/j.arti.2022.000007,"Massachusetts Institute of Technology, CSAIL, Cambridge, United States","Kuson, J., Massachusetts Institute of Technology, CSAIL, Cambridge, United States; Johnson, M., Massachusetts Institute of Technology, CSAIL, Cambridge, United States; Fernandez, M., Massachusetts Institute of Technology, CSAIL, Cambridge, United States","Recent advancements in artificial intelligence have demonstrated the critical role of artificial intelligence in modern computing infrastructures. In this work, we tackle fundamental challenges in few-shot learning by proposing an hierarchical framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 13.6% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying artificial intelligence models in production.",artificial intelligence; few-shot learning; federated learning; explainable ai; contrastive learning,machine learning; artificial intelligence; Algorithms; Computer Science; few-shot learning; deep learning; contrastive learning; explainable ai; Performance evaluation; federated learning,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Kuson, J., Massachusetts Institute of Technology, CSAIL, Cambridge, United States",,Elsevier / IEEE,8953-4510,,,,English,IEEE Transactio,Article,Final,None,Scopus,2-s2.0-85000000007,Artificial Intelligence
"Chaiyarongsri, T., Sato, H.",57000922733; 57000595948,Adaptive Natural Language Processing Integration with Neural Networks for Cloud Infrastructures: Case Study 8 in Artificial Intelligence,2022,Journal of Artificial Intelligence Research,34,4,,1099,1113,15,14,10.1016/j.arti.2022.000008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000008&doi=10.1016/j.arti.2022.000008,"KAIST, School of Computing, Daejeon, South Korea","Chaiyarongsri, T., KAIST, School of Computing, Daejeon, South Korea; Sato, H., KAIST, School of Computing, Daejeon, South Korea","Recent advancements in artificial intelligence have demonstrated the critical role of natural language processing in modern computing infrastructures. In this work, we tackle fundamental challenges in neural networks by proposing an adaptive framework specifically designed for cloud infrastructures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 22.2% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying natural language processing models in production.",natural language processing; neural networks; few-shot learning; autonomous systems; supervised learning; foundation models,neural networks; foundation models; Algorithms; multi-agent systems; Computer Science; autonomous systems; supervised learning; few-shot learning; deep learning; natural language processing; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Chaiyarongsri, T., KAIST, School of Computing, Daejeon, South Korea",,Elsevier / IEEE,3296-7912,,,,English,Journal of Arti,Article,Final,Gold,Scopus,2-s2.0-85000000008,Artificial Intelligence
"Muller, C., Nguyen, A.",57000202664; 57000153045,Dynamic Machine Learning Integration with Explainable Ai for Cloud Infrastructures: Case Study 9 in Artificial Intelligence,2024,Neural Networks,10,7,,544,565,22,1,10.1016/j.arti.2024.000009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000009&doi=10.1016/j.arti.2024.000009,"University of Toronto, Department of Computer Science, Toronto, Canada","Muller, C., University of Toronto, Department of Computer Science, Toronto, Canada; Nguyen, A., University of Toronto, Department of Computer Science, Toronto, Canada","Recent advancements in artificial intelligence have demonstrated the critical role of machine learning in modern computing infrastructures. In this work, we tackle fundamental challenges in explainable ai by proposing an dynamic framework specifically designed for cloud infrastructures. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 13.3% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying machine learning models in production.",machine learning; explainable ai; large language models,prompt engineering; machine learning; foundation models; Algorithms; natural language processing; large language models; Computer Science; explainable ai; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Muller, C., University of Toronto, Department of Computer Science, Toronto, Canada",,Elsevier / IEEE,8454-5673,,,,English,Neural Networks,Article,Final,Bronze,Scopus,2-s2.0-85000000009,Artificial Intelligence
"Brown, A., Kuson, Z., Sato, S.",57000299122; 57000411120; 57000328275,Adaptive Generative Adversarial Networks Integration with Deep Learning for Large-Scale Systems: Case Study 10 in Artificial Intelligence,2023,Expert Systems with Applications,18,11,,482,495,14,2,10.1016/j.arti.2023.000010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000000010&doi=10.1016/j.arti.2023.000010,"Stanford University, Department of Computer Science, Stanford, United States","Brown, A., Stanford University, Department of Computer Science, Stanford, United States; Kuson, Z., Stanford University, Department of Computer Science, Stanford, United States; Sato, S., Stanford University, Department of Computer Science, Stanford, United States","Recent advancements in artificial intelligence have demonstrated the critical role of generative adversarial networks in modern computing infrastructures. In this work, we tackle fundamental challenges in deep learning by proposing an adaptive framework specifically designed for large-scale systems. Our methodology integrates rigorous algorithmic formulations with extensive experimental profiling. Empirical results on standardized datasets indicate an improvement of 17.2% in throughput and convergence over prior baseline architectures. These findings provide actionable guidelines for practitioners deploying generative adversarial networks models in production.",generative adversarial networks; deep learning; few-shot learning,prompt engineering; Algorithms; generative adversarial networks; Computer Science; large language models; few-shot learning; deep learning; contrastive learning; Performance evaluation,,,,,National Science Foundation; European Research Council,This work was supported in part by national research grants.,,,Ref 1; Ref 2; Ref 3; Ref 4,"Brown, A., Stanford University, Department of Computer Science, Stanford, United States",,Elsevier / IEEE,2964-5033,,,,English,Expert Systems ,Article,Final,None,Scopus,2-s2.0-85000000010,Artificial Intelligence
